Goa Jepang,Bali,Klungkung,"Goa Jepang, Klungkung","-8.5525332,115.3814122"
Wisata Batu Kenong,Jawa Timur,Besuki,"Wisata Batu Kenong, Besuki","-7.6887914,113.8317753"
Makam Cut Nyak Dien,Jawa Barat,Sumedang,"Makam Cut Nyak Dien, Sumedang","-6.8632164,107.9164737"
Taman Kota Tolitoli,Sulawesi Tengah,Tolitoli,"Taman Kota Tolitoli, Tolitoli","1.0460089,120.8180181"
Gunung Sari Luwak Coffee,Bali,Gianyar,"Gunung Sari Luwak Coffee, Gianyar","-8.5855431,115.3471842"
Patung Renungan Bung Karno,Nusa Tenggara Timur,Ende,"Patung Renungan Bung Karno, Ende","-8.8436125,121.6436847"
Pantai Cibendo II,Jawa Barat,Karawang ᮊᮛᮝᮀ,"Pantai Cibendo II, Karawang ᮊᮛᮝᮀ","-6.1617233,107.5042661"
Pantai Cibendo,Jawa Barat,Karawang ᮊᮛᮝᮀ,"Pantai Cibendo, Karawang ᮊᮛᮝᮀ","-6.1589764,107.4959574"
Taman Getsemani,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Samosir,Jalan Raya Ambarita,"2.6932995,98.8181854"
Pantai Sibolazi,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Samosir,"Pantai Sibolazi, Samosir","2.7484491,98.7510363"
Pantai Batu Hoda,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Samosir,"Pantai Batu Hoda, Samosir","2.7601108,98.724716"
Tugu Jala Uden,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Samosir,"Tugu Jala Uden, Samosir","2.6780183,98.6908746"
Pantai Ancol Pangururan,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Samosir,"Pantai Ancol Pangururan, Samosir","2.6064128,98.6953646"
Goa Maria,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Samosir,"Goa Maria, Samosir","2.4921819,98.808504"
Pantai Pasi Putih Parbaba,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Samosir,"Pantai Pasi Putih Parbaba, Samosir","2.6955645,98.6898366"
Pantai Situngkir,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Samosir,"Pantai Situngkir, Samosir","2.7029554,98.6900317"
Wisata Lokal Muwawawe Desa Done,Nusa Tenggara Timur,Sikka,"Wisata Lokal Muwawawe Desa Done, Sikka","-8.595247,122.0318928"
Patung Ondel-ondel,,Daerah Khusus ibukota Jakarta,"Patung Ondel-ondel, Daerah Khusus ibukota Jakarta","-6.1599971,106.8517512"
Pantai Cemara,Nusa Tenggara Barat,,"Pantai Cemara, ","-8.8893538,116.5070133"
Traditional house,Papua,Biak Numfor,"Traditional house, Biak Numfor","-0.8345133,135.9563033"
"Goa Jepang, Japanese cave",Papua,Biak Numfor,"Goa Jepang, Japanese cave, Biak Numfor","-1.1779669,136.1056001"
Curug Bugbrug,Jawa Barat,Bandung Barat,"Curug Bugbrug, Bandung Barat","-6.7922202,107.5801987"
Makam Adji Kemala,Kalimantan Timur,Balikpapan,"Makam Adji Kemala, Balikpapan","-1.2732247,116.8083524"
Goa Lawa,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀,"Goa Lawa, Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀","-8.0250163,110.5542658"
Bukit Chili Rafting,Bali,Karangasem,"Bukit Chili Rafting, Karangasem","-8.423922,115.4376378"
Candi Hati Kudus Yesus,Daerah Istimewa Yogyakarta,Bantul,"Candi Hati Kudus Yesus, Bantul","-7.9261218,110.3198549"
Gunung Kidul,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀,"Gunung Kidul, Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀","-7.8471675,110.4793346"
Taman Budaya Sentul City,Jawa Barat,Kab Bogor,Jalan Siliwangi,"-6.5842059,106.8828158"
waterfall tiu teja,Nusa Tenggara Barat,Lombok Utara,"waterfall tiu teja, Lombok Utara","-8.3348939,116.3036157"
air terjun jeruk manis,Nusa Tenggara Barat,,"air terjun jeruk manis, ","-8.5175496,116.4255378"
Lakey peak,Nusa Tenggara Barat,,"Lakey peak, ","-8.7964538,118.3785451"
Taman Bakau,Bali,Denpasar ᬤᬾᬦ᭄ᬧᬲᬃ,"Taman Bakau, Denpasar ᬤᬾᬦ᭄ᬧᬲᬃ","-8.7261125,115.1931602"
Pantai Lombang,Jawa Timur,Sumenep,"Pantai Lombang, Sumenep","-6.9186059,114.0650772"
Temple with big statue,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Kota Pematang Siantar–Simalungun,"Temple with big statue, Kota Pematang Siantar–Simalungun","2.9544264,99.0689594"
Pantai Klayar,Jawa Timur,Pacitan,"Pantai Klayar, Pacitan","-8.2235831,110.9472838"
Curug Cipamingkis,Jawa Barat,Kab Bogor,"Curug Cipamingkis, Kab Bogor","-6.6404044,107.0113877"
Curug Ciherang,Jawa Barat,Kab Bogor,"Curug Ciherang, Kab Bogor","-6.6371011,106.9990126"
Curug Cibeet,Jawa Barat,Kab Bogor,"Curug Cibeet, Kab Bogor","-6.6640005,107.0075789"
Curug Arca,Jawa Barat,Kab Bogor,"Curug Arca, Kab Bogor","-6.6555179,107.0141396"
Curug Countri,Jawa Barat,Kab Bogor,"Curug Countri, Kab Bogor","-6.571813,107.120837"
Beach,Nusa Tenggara Timur,Nagekeo,"Beach, Nagekeo","-8.7922035,121.4108667"
Candi Sari,Daerah Istimewa Yogyakarta,Sleman,"Candi Sari, Sleman","-7.7615065,110.4742174"
Goa Rang Reng,Bali,Gianyar,"Goa Rang Reng, Gianyar","-8.5162049,115.3313046"
Beach,Nusa Tenggara Barat,,"Beach, ","-8.1448905,117.378117"
Waterfall,Nusa Tenggara Barat,,"Waterfall, ","-8.1591061,117.5400949"
Hutan Pinus Becici,Daerah Istimewa Yogyakarta,Bantul,"Hutan Pinus Becici, Bantul","-7.9012592,110.4372592"
Curug Ngebul,Jawa Barat,Cianjur,"Curug Ngebul, Cianjur","-7.1551185,107.2042556"
Air Terjun Sri Gethuk,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀,"Air Terjun Sri Gethuk, Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀","-7.9432134,110.4895782"
Air Terjun Bantimurung,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Sulawesi,"Air Terjun Bantimurung, Sulawesi","-5.0165199,119.6855203"
Air Terjun Tukad Cepung,Bali,Bangli,"Air Terjun Tukad Cepung, Bangli","-8.4423213,115.3879035"
Village Lengo,Kalimantan Timur,Berau,"Village Lengo, Berau","1.411335,118.35197"
Pantai Walakiri,Nusa Tenggara Timur,Sumba Timur,"Pantai Walakiri, Sumba Timur","-9.6286074,120.4275101"
Pantai Kawangu,Nusa Tenggara Timur,Sumba Timur,"Pantai Kawangu, Sumba Timur","-9.6650509,120.3324258"
Pantai Londalima,Nusa Tenggara Timur,Kecamatan Kanatang,"Pantai Londalima, Kecamatan Kanatang","-9.5924985,120.2293646"
Air Terjun Tanggendu,Nusa Tenggara Timur,Kecamatan Kanatang,"Air Terjun Tanggendu, Kecamatan Kanatang","-9.5745182,120.0908408"
Pantai Kambera,Nusa Tenggara Timur,Sumba Timur,"Pantai Kambera, Sumba Timur","-9.4855404,120.1288891"
Pantai Larodak,Nusa Tenggara Timur,Sumba Timur,"Pantai Larodak, Sumba Timur","-9.3803484,120.0045633"
Air Terjun Tangkup Krisik,Bali,Bangli,"Air Terjun Tangkup Krisik, Bangli","-8.4575023,115.3877655"
Danau Kapeta,Sulawesi Utara,Kepulauan Siau Tagulandang Biaro,"Danau Kapeta, Kepulauan Siau Tagulandang Biaro","2.65471,125.3989084"
Monument slemant sembada,Daerah Istimewa Yogyakarta,Sleman,"Monument slemant sembada, Sleman","-7.7545052,110.4084257"
Monument sleman sembada,Daerah Istimewa Yogyakarta,Sleman,"Monument sleman sembada, Sleman","-7.7506852,110.4096055"
Monumen sleman sembada,Daerah Istimewa Yogyakarta,Sleman,"Monumen sleman sembada, Sleman","-7.7541555,110.4104937"
Tugu Karangasem,Daerah Istimewa Yogyakarta,Sleman,"Tugu Karangasem, Sleman","-7.7514727,110.4125045"
Patung Persembahan,Daerah Istimewa Yogyakarta,Sleman,"Patung Persembahan, Sleman","-7.7514456,110.4161973"
Monumen Dero,Daerah Istimewa Yogyakarta,Sleman,"Monumen Dero, Sleman","-7.7541552,110.4105019"
Pantai Kedungu,Bali,desa belalang,"Pantai Kedungu, desa belalang","-8.6089485,115.0833909"
Air Terjun Temburun,Kepulauan Riau كڤولاوان رياو,Kepulauan Anambas,"Air Terjun Temburun, Kepulauan Anambas","3.1819543,106.271721"
Gua Jepang,Papua Barat Daya,Sorong,"Gua Jepang, Sorong","-0.8858236,131.2358239"
Cave Burial Site,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Tana Toraja,"Cave Burial Site, Tana Toraja","-3.0877273,119.9024613"
Danau Emfote,Papua,Sentani,"Danau Emfote, Sentani","-2.6606606,140.5391968"
