nama,provinsi,kabupaten/kota,alamat,titik_koordinat,kategori,latitude,longitude
Candi Kul Kul,DKI Jakarta,Daerah Khusus ibukota Jakarta,Candi Kul Kul Daerah Khusus ibukota Jakarta,"-6.1219264,106.8393104",Candi,-6.1219264,106.8393104
Candi Laras,Kalimantan Selatan,Tapin,Candi Laras Tapin,"-2.8736746,114.9422076",Candi,-2.8736746,114.9422076
Candi Lemari,Jawa Timur,Mojokerto,Candi Lemari Mojokerto,"-7.6078498,112.6123137",Candi,-7.6078498,112.6123137
Candi Lurah,Jawa Timur,Mojokerto,Candi Lurah Mojokerto,"-7.613422,112.6118635",Candi,-7.613422,112.6118635
Candi Merak,Jawa Timur,Mojokerto,Candi Merak Mojokerto,"-7.6066004,112.6133722",Candi,-7.6066004,112.6133722
Candi Miri,Daerah Istimewa Yogyakarta,Sleman,Candi Miri Sleman,"-7.7710173,110.5040988",Candi,-7.7710173,110.5040988
Candi Morangan,Daerah Istimewa Yogyakarta,Argomulyo,Candi Morangan Argomulyo,"-7.6698765,110.4626853",Candi,-7.6698765,110.4626853
Candi Naga,Jawa Timur,Mojokerto,Candi Naga Mojokerto,"-7.6138526,112.6106987",Candi,-7.6138526,112.6106987
Candi Naga,Jawa Timur,Mojokerto,Candi Naga  Mojokerto,"-7.608458,112.6105279",Candi,-7.608458,112.6105279
Candi NN,Jawa Timur,Mojokerto,Candi NN Mojokerto,"-7.6047027,112.6170999",Candi,-7.6047027,112.6170999
Candi Palgading,Daerah Istimewa Yogyakarta,Sleman,Candi Palgading Sleman,"-7.7259823,110.4109401",Candi,-7.7259823,110.4109401
Candi Penampihan,Jawa Timur,Tulungagung,Candi Penampihan Tulungagung,"-7.9027228,111.7952694",Candi,-7.9027228,111.7952694
Candi Penanggungan,Jawa Timur,Mojokerto,Candi Penanggungan Mojokerto,"-7.6060676,112.6135097",Candi,-7.6060676,112.6135097
Candi Plaosan Kidul,Jawa Tengah,Klaten,Candi Plaosan Kidul Klaten,"-7.7426813,110.5047479",Candi,-7.7426813,110.5047479
Candi Plaosan Lor,Jawa Tengah,Klaten,Candi Plaosan Lor Klaten,"-7.7405551,110.504646",Candi,-7.7405551,110.504646
Candi Prambanan,Sleman dan Klaten,Daerah Istimewa Yogyakarta,Sleman,7.75200000°S 110.49122000°E,Candi,-7.752,110.49122
Candi Pura,Jawa Timur,Mojokerto,Candi Pura Mojokerto,"-7.6115047,112.6106941",Candi,-7.6115047,112.6106941
Candi Putri,Jawa Timur,Mojokerto,Candi Putri Mojokerto,"-7.611832,112.6093412",Candi,-7.611832,112.6093412
Candi Rengganis,Jawa Timur,Probolinggo,Candi Rengganis Probolinggo,"-7.9647946,113.5730157",Candi,-7.9647946,113.5730157
Candi ruins,Bali,Gianyar,Candi ruins Gianyar,"-8.5235848,115.2866581",Candi,-8.5235848,115.2866581
Candi Sambisari,Daerah Istimewa Yogyakarta,Sleman,Candi Sambisari Sleman,"-7.7623668,110.446949",Candi,-7.7623668,110.446949
Candi Sari,Daerah Istimewa Yogyakarta,Sleman,Candi Sari Sleman,"-7.7615065,110.4742174",Candi,-7.7615065,110.4742174
Candi Selokelir,Jawa Timur,Mojokerto,Candi Selokelir Mojokerto,"-7.6251042,112.6080982",Candi,-7.6251042,112.6080982
Candi Sengon,Jawa Timur,Mojokerto,Candi Sengon Mojokerto,"-7.6045661,112.6151579",Candi,-7.6045661,112.6151579
Candi Shiwa,Jawa Timur,Mojokerto,Candi Shiwa Mojokerto,"-7.6144409,112.6121525",Candi,-7.6144409,112.6121525
Candi Sialang,Jambi,Muaro Jambi,Candi Sialang Muaro Jambi,"-1.4684908,103.681291",Candi,-1.4684908,103.681291
Candi Simping,Jawa Timur,Blitar,Candi Simping Blitar,"-8.1640797,112.1461388",Candi,-8.1640797,112.1461388
Candi Sinta,Jawa Timur,Mojokerto,Candi Sinta Mojokerto,"-7.6112472,112.6125607",Candi,-7.6112472,112.6125607
Candi Sirah Kencong,Jawa Timur,Blitar,Candi Sirah Kencong Blitar,"-7.9800031,112.4278234",Candi,-7.9800031,112.4278234
Candi Sojiwan,Jawa Tengah,Klaten,Candi Sojiwan Klaten,"-7.7608885,110.4961263",Candi,-7.7608885,110.4961263
Candi Somdet Nyanasamvara,Sumatera Utara,Deli Serdang,Candi Somdet Nyanasamvara Deli Serdang,"3.6389343,98.700837",Candi,3.6389343,98.700837
Candi Tawangalun,Jawa Timur,Sidoarjo,Candi Tawangalun Sidoarjo,"-7.3988488,112.7891649",Candi,-7.3988488,112.7891649
Candi Tebing Krobokan,Bali,Gianyar,Candi Tebing Krobokan Gianyar,"-8.485011,115.3084916",Candi,-8.485011,115.3084916
Candi Tebing Tegallinggah,Bali,Gianyar,Candi Tebing Tegallinggah Gianyar,"-8.5271734,115.3065887",Candi,-8.5271734,115.3065887
Candi Tikus,Jawa Timur,Mojokerto,Candi Tikus Mojokerto,"-7.5718035,112.4035341",Candi,-7.5718035,112.4035341
Candi Tugu,Jawa Tengah,Kota Semarang,Candi Tugu Kota Semarang,"-6.9802289,110.3492707",Landmark,-6.9802289,110.3492707
Candi Tumpak Wolu,Jawa Timur,Mojokerto,Candi Tumpak Wolu Mojokerto,"-7.6032232,112.6158902",Candi,-7.6032232,112.6158902
Candi Umbul,Jawa Tengah,Magelang,Candi Umbul Magelang,"-7.359577,110.297108",Candi,-7.359577,110.297108
Candi Wayang,Jawa Timur,Mojokerto,Candi Wayang Mojokerto,"-7.6054843,112.6217173",Candi,-7.6054843,112.6217173
Candi Wisnu,Jawa Timur,Mojokerto,Candi Wisnu Mojokerto,"-7.6147858,112.613817",Candi,-7.6147858,112.613817
Candi Wringin Branjang,Jawa Timur,Blitar,Candi Wringin Branjang Blitar,"-8.0027503,112.2817723",Candi,-8.0027503,112.2817723
Cave Burial Site,Sulawesi Selatan,Tana Toraja,Cave Burial Site Tana Toraja,"-3.0877273,119.9024613",Lainnya,-3.0877273,119.9024613
caves,Sulawesi Selatan,Sulawesi,caves Sulawesi,"-4.9776749,119.6741563",Lainnya,-4.9776749,119.6741563
Curug Arca,Jawa Barat,Kab Bogor,Curug Arca Kab Bogor,"-6.6555179,107.0141396",Air Terjun,-6.6555179,107.0141396
Curug Bugbrug,Jawa Barat,Bandung Barat,Curug Bugbrug Bandung Barat,"-6.7922202,107.5801987",Air Terjun,-6.7922202,107.5801987
Curug Cibeet,Jawa Barat,Kab Bogor,Curug Cibeet Kab Bogor,"-6.6640005,107.0075789",Air Terjun,-6.6640005,107.0075789
Curug Ciherang,Jawa Barat,Kab Bogor,Curug Ciherang Kab Bogor,"-6.6371011,106.9990126",Air Terjun,-6.6371011,106.9990126
Curug Cipamingkis,Jawa Barat,Kab Bogor,Curug Cipamingkis Kab Bogor,"-6.6404044,107.0113877",Air Terjun,-6.6404044,107.0113877
Curug Cipendok,Jawa Tengah,Purwokerto,Curug Cipendok Purwokerto,"-7.3454571,109.1466432",Air Terjun,-7.3454571,109.1466432
Curug Countri,Jawa Barat,Kab Bogor,Curug Countri Kab Bogor,"-6.571813,107.120837",Air Terjun,-6.571813,107.120837
Curug Ngebul,Jawa Barat,Cianjur,Curug Ngebul Cianjur,"-7.1551185,107.2042556",Air Terjun,-7.1551185,107.2042556
Curug Pinang,Jawa Tengah,Purwokerto,Curug Pinang Purwokerto,"-7.31114,109.2368298",Air Terjun,-7.31114,109.2368298
Curug Putri Carita,Banten,Pandeglang,Sukarame Carita Kabupaten Pandeglang Banten,"-6.2778135,105.8562169",Air Terjun,-6.2778135,105.8562169
Curug Putri Carita Pandeglang,Banten,Pandeglang,Curug Putri Carita Pandeglang Pandeglang,"-6.2776722,105.8568916",Air Terjun,-6.2776722,105.8568916
Curug Telu,Jawa Tengah,Purwokerto,Curug Telu Purwokerto,"-7.3179337,109.2419474",Air Terjun,-7.3179337,109.2419474
Danau Bira,Papua,Mamberamo Raya,Danau Bira Mamberamo Raya,"-2.5627673,138.0805331",Danau,-2.5627673,138.0805331
Danau Biru,Kepulauan Bangka Belitung,Belitung,Danau Biru Belitung,"-2.7718522,107.6295199",Danau,-2.7718522,107.6295199
Danau Biru Kembar,Riau,Indragiri Hulu,Danau Biru Kembar Indragiri Hulu,"-0.6678309,102.4334173",Danau,-0.6678309,102.4334173
Danau Emfote,Papua,Sentani,Danau Emfote Sentani,"-2.6606606,140.5391968",Danau,-2.6606606,140.5391968
Danau Kapeta,Sulawesi Utara,Kepulauan Siau Tagulandang Biaro,Danau Kapeta Kepulauan Siau Tagulandang Biaro,"2.65471,125.3989084",Danau,2.65471,125.3989084
DANAU KIBEKAN,Sumatera Selatan,Muara Enim,DANAU KIBEKAN Muara Enim,"-3.617762,104.401859",Danau,-3.617762,104.401859
DANAU MAWANG,Sulawesi Selatan,Sulawesi,DANAU MAWANG Sulawesi,"-5.2252762,119.5025933",Danau,-5.2252762,119.5025933
Danau moko,Sulawesi Tenggara,Muna,Danau moko Muna,"-5.1742752,122.5833495",Danau,-5.1742752,122.5833495
Danau Permai PC PKT Bontang,Kalimantan Timur,Bontang,Danau Permai PC PKT Bontang Bontang,"0.1463578,117.4615451",Danau,0.1463578,117.4615451
Danau Sentarum,Kalimantan Barat,Kapuas Hulu,Danau Sentarum Kapuas Hulu,"0.8510299,112.1016308",Danau,0.8510299,112.1016308
Danau Wisata Teluk Gelam,Sumatera Selatan,Ogan Komering Ilir,Danau Wisata Teluk Gelam Ogan Komering Ilir,"-3.5651185,104.7942738",Danau,-3.5651185,104.7942738
Danauwaduk,Papua Tengah,Deiyai,Danauwaduk Deiyai,"-4.022834,136.2812928",Danau,-4.022834,136.2812928
Goa Botol,Jawa Timur,Mojokerto,Goa Botol Mojokerto,"-7.6169471,112.6193855",Gua,-7.6169471,112.6193855
Goa Garba,Bali,Gianyar,Goa Garba Gianyar,"-8.5075278,115.3036241",Gua,-8.5075278,115.3036241
Goa Jepang,Daerah Istimewa Yogyakarta,Bantul,Goa Jepang Bantul,"-8.0011317,110.3290669",Gua,-8.0011317,110.3290669
Goa Jepang Japanese cave,Papua,Biak Numfor,Goa Jepang Japanese cave Biak Numfor,"-1.1779669,136.1056001",Gua,-1.1779669,136.1056001
Goa Lawa,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul,Goa Lawa Kabupaten Gunungkidul,"-8.0250163,110.5542658",Gua,-8.0250163,110.5542658
Goa Lokale Wosi,Papua Pegunungan,Jayawijaya,Goa Lokale Wosi Jayawijaya,"-3.9224864,138.872908",Gua,-3.9224864,138.872908
Goa Maria,Sumatera Utara,Samosir,Goa Maria Samosir,"2.4921819,98.808504",Gua,2.4921819,98.808504
Goa Rang Reng,Bali,Gianyar,Goa Rang Reng Gianyar,"-8.5162049,115.3313046",Gua,-8.5162049,115.3313046
Goa Siluman,Daerah Istimewa Yogyakarta,Bantul,Goa Siluman Bantul,"-7.8026927,110.4138496",Gua,-7.8026927,110.4138496
Gua Japeng,Sulawesi Utara,Tomohon,Gua Japeng Tomohon,"1.3307129,124.8078693",Gua,1.3307129,124.8078693
Gua Jepang,Papua Barat Daya,Sorong,Gua Jepang Sorong,"-0.8858236,131.2358239",Gua,-0.8858236,131.2358239
Gua Maharani,Jawa Timur,Lamongan,Gua Maharani Lamongan,"-6.8678872,112.3621443",Gua,-6.8678872,112.3621443
Gua Maria Kerep Ambarawa,Jawa Tengah,Ungaran,Gua Maria Kerep Ambarawa Ungaran,"-7.255488,110.3984538",Gua,-7.255488,110.3984538
Gua Sumur Sumberarum,Jawa Timur,Bojonegoro,Gua Sumur Sumberarum Bojonegoro,"-7.2687658,111.8613628",Gua,-7.2687658,111.8613628
Gua Wa Ode Pogo,Sulawesi Tenggara,Buton Selatan,Gua Wa Ode Pogo Buton Selatan,"-5.5207779,122.494617",Gua,-5.5207779,122.494617
Gualo,Papua Pegunungan,Tolikara,Gualo Tolikara,"-3.2719862,138.2568399",Gua,-3.2719862,138.2568399
Guawage,Papua Pegunungan,Yalimo,Guawage Yalimo,"-3.7510205,139.3808771",Gua,-3.7510205,139.3808771
Gunung Bromo,Jawa Timur,Pasuruan,Gunung Bromo Pasuruan,"-7.9420691,112.9529769",Gunung,-7.9420691,112.9529769
Gunung Gajah,Daerah Istimewa Yogyakarta,Kulonprogo,Gunung Gajah Kulonprogo,"-7.7229219,110.1274591",Gunung,-7.7229219,110.1274591
Gunung Kembu,Papua Pegunungan,Tolikara,Gunung Kembu Tolikara,"-3.5058819,138.4951971",Gunung,-3.5058819,138.4951971
Gunung Kidul,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul,Gunung Kidul Kabupaten Gunungkidul,"-7.8471675,110.4793346",Gunung,-7.8471675,110.4793346
Gunung Kotak,Jawa Timur,Ponorogo,Gunung Kotak Ponorogo,"-8.0659411,111.4611707",Gunung,-8.0659411,111.4611707
Gunung Luhur,Banten,Lebak,Gunung Luhur Lebak,"-6.7426187,106.3318364",Gunung,-6.7426187,106.3318364
Gunung Mas Tea Plantation Entry Point,Jawa Barat,Kab Bogor,Gunung Mas Tea Plantation Entry Point Kab Bogor,"-6.7029813,106.9715588",Gunung,-6.7029813,106.9715588
Gunung Sari Luwak Coffee,Bali,Gianyar,Gunung Sari Luwak Coffee Gianyar,"-8.5855431,115.3471842",Gunung,-8.5855431,115.3471842
Hilli GoweTuheo Gulo Megalitic Site,Sumatera Utara,Nias Barat,Hilli GoweTuheo Gulo Megalitic Site Nias Barat,"1.0599943,97.4861882",Lainnya,1.0599943,97.4861882
Hutan bambo,Aceh,Aceh Singkil,Hutan bambo Aceh Singkil,"2.0378002,97.3912633",Lainnya,2.0378002,97.3912633
Hutan Bambu Bulaksalak,Daerah Istimewa Yogyakarta,Wukirsari,Hutan Bambu Bulaksalak Wukirsari,"-7.6419056,110.4500866",Lainnya,-7.6419056,110.4500866
Hutan De Djawatan,Jawa Timur,Banyuwangi,Hutan De Djawatan Banyuwangi,"-8.431429,114.226137",Lainnya,-8.431429,114.226137
Hutan Keluarga Pamarak,Nusa Tenggara Timur,Sumba Barat,Hutan Keluarga Pamarak Sumba Barat,"-9.4931083,119.4198691",Lainnya,-9.4931083,119.4198691
Hutan Kemiri,Nusa Tenggara Timur,Sumba Barat,Hutan Kemiri Sumba Barat,"-9.4803173,119.4223335",Lainnya,-9.4803173,119.4223335
