nama,provinsi,kabupaten/kota,alamat,titik_koordinat,kategori,latitude,longitude
Museum Candi kimpulan,Daerah Istimewa Yogyakarta,Sleman,Museum Candi kimpulan Sleman,"-7.6883643,110.4154034",Museum,-7.6883643,110.4154034
Museum Daerah Sang Nila Utama,Riau,Pekanbaru,Museum Daerah Sang Nila Utama Pekanbaru,"0.4942294,101.4542082",Museum,0.4942294,101.4542082
Museum Daerah Sumatera Utara,Sumatera Utara,Kota Medan,Jalan HM Joni,"3.5679356,98.6962956",Museum,3.5679356,98.6962956
Museum dan Galeri Seni SBY ANI Pacitan,Jawa Timur,Pacitan,Jalan Lingkar Pacitan,"-8.2098889,111.0929554",Museum,-8.2098889,111.0929554
Museum Dewantara Kirti Griya,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Jalan Taman Siswa,"-7.8054562,110.3784127",Museum,-7.8054562,110.3784127
Museum DTopeng Kingdom,Jawa Timur,Kota Batu,Jalan Kartika,"-7.8838462,112.524923",Museum,-7.8838462,112.524923
Museum Eman,Sulawesi Selatan,Sulawesi,Museum Eman Sulawesi,"-3.7874816,119.6521657",Museum,-3.7874816,119.6521657
Museum Etnografi,Jawa Timur,Surabaya,Museum Etnografi Surabaya,"-7.2725027,112.7595332",Museum,-7.2725027,112.7595332
Museum Gedung Sate,Jawa Barat,Kota Bandung,Jalan Diponegoro,"-6.9025816,107.6190825",Museum,-6.9025816,107.6190825
Museum Geologi,Jawa Barat,Kota Bandung,Jalan Diponegoro,"-6.900453,107.6214745",Museum,-6.900453,107.6214745
Museum Gula,Jawa Tengah,Klaten,Museum Gula Klaten,"-7.7211986,110.5615259",Museum,-7.7211986,110.5615259
Museum Gunung Batur Volcano Batur,Bali,Bangli,Museum Gunung Batur Volcano Batur Bangli,"-8.2838776,115.3644705",Gunung,-8.2838776,115.3644705
Museum Haji Muhammad Sattar MHMS,Jawa Timur,Kelurahan Sumbersari,Jalan Veteran,"-7.9570039,112.6154861",Museum,-7.9570039,112.6154861
Museum HAM Omah Munir,Jawa Timur,Kota Batu,Jalan Bukit Berbunga,"-7.8458304,112.5284237",Museum,-7.8458304,112.5284237
Museum Harry Darsono,DKI Jakarta,Daerah Khusus ibukota Jakarta,Jl Cilandak Tengah No,"-6.289216,106.8018858",Museum,-6.289216,106.8018858
Museum Herbarium dan Zoologi ITB,Jawa Barat,Sumedang,Museum Herbarium dan Zoologi ITB Sumedang,"-6.9320057,107.771293",Museum,-6.9320057,107.771293
Museum Huta Bolon Simanindo,Sumatera Utara,Samosir,Museum Huta Bolon Simanindo Samosir,"2.7523751,98.7441232",Museum,2.7523751,98.7441232
Museum IKIP Negeri Malang,Jawa Timur,Kelurahan Sumbersari,Museum IKIP Negeri Malang Kelurahan Sumbersari,"-7.9632696,112.618978",Museum,-7.9632696,112.618978
Museum Inggil,Jawa Timur,Kota Malang,Museum Inggil Kota Malang,"-7.9787792,112.6348324",Museum,-7.9787792,112.6348324
Museum IrH Juanda,Jawa Barat,Kabupaten Bandung,Museum IrH Juanda Kabupaten Bandung,"-6.8576071,107.6291737",Museum,-6.8576071,107.6291737
Museum Istana Yogyakarta,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Museum Istana Yogyakarta Kota Yogyakarta,"-7.8009419,110.3642119",Museum,-7.8009419,110.3642119
Museum Kampung Hilang,Daerah Istimewa Yogyakarta,Wukirsari,Museum Kampung Hilang Wukirsari,"-7.6380708,110.4582379",Museum,-7.6380708,110.4582379
Museum Kanjeng Sepuh Sidayu,Jawa Timur,Gresik,Museum Kanjeng Sepuh Sidayu Gresik,"-6.9915981,112.5658567",Museum,-6.9915981,112.5658567
Museum Kapal,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Museum Kapal Kota Yogyakarta,"-7.8012112,110.3496168",Museum,-7.8012112,110.3496168
Museum Karaeng Pattinngalloang,Sulawesi Selatan,Sulawesi,Museum Karaeng Pattinngalloang Sulawesi,"-5.1910909,119.4040974",Museum,-5.1910909,119.4040974
Museum Kartini,Jawa Tengah,Rembang,Museum Kartini Rembang,"-6.7069311,111.3503062",Museum,-6.7069311,111.3503062
Museum Kayu Sampit,Kalimantan Tengah,Kotawaringin Timur,Jalan Jend S Parman,"-2.5386366,112.9587139",Museum,-2.5386366,112.9587139
Museum Kebudayaan Tionghoa,Jawa Barat,Kota Bandung,Jalan Nana Rohana,"-6.9217089,107.5773807",Museum,-6.9217089,107.5773807
Museum Kepresidenan Balai Kirti,Jawa Barat,Bogor,Museum Kepresidenan Balai Kirti Bogor,"-6.59808,106.7955949",Museum,-6.59808,106.7955949
Museum Kerajinan Amai Setia,Sumatera Barat,Agam,Museum Kerajinan Amai Setia Agam,"-0.3134659,100.3547534",Museum,-0.3134659,100.3547534
Museum Kereta Api Sawahlunto,Sumatera Barat,Sawahlunto,Museum Kereta Api Sawahlunto Sawahlunto,"-0.682885,100.7769464",Museum,-0.682885,100.7769464
Museum Kereta Karaton,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Museum Kereta Karaton Kota Yogyakarta,"-7.8054634,110.362656",Museum,-7.8054634,110.362656
Museum Kesehatan Jiwa,Jawa Timur,Kabupaten Malang,Museum Kesehatan Jiwa Kabupaten Malang,"-7.825223,112.7143943",Museum,-7.825223,112.7143943
Museum Ki Amri Yahya,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Museum Ki Amri Yahya Kota Yogyakarta,"-7.7992032,110.3538235",Museum,-7.7992032,110.3538235
